rank,filter,grade,name,quality,virality,frequency,subscribers,views,stats_url,date_scraped,source
1,subscribers,382,Ricis Official,50,14,53,30500000,5193483914,https://graphyrepo.com/p/ricisofficial-29665a11,2022-09-17T03:26:19+00Z,graphyrepo
2,subscribers,380,AH,50,14,52,30000000,4121247244,https://graphyrepo.com/p/ah-0ee27217,2022-09-17T03:26:19+00Z,graphyrepo
3,subscribers,471,TRANS7 OFFICIAL,24,24,98,23500000,12657496716,https://graphyrepo.com/p/trans7-ca8eca2c,2022-09-17T03:26:19+00Z,graphyrepo
4,subscribers,558,Frost Diamond,74,24,54,22600000,5483195272,https://graphyrepo.com/p/frostdiamond-988fafd6,2022-09-17T03:26:19+00Z,graphyrepo
5,subscribers,418,Baim Paula,50,24,53,20800000,4292421164,https://graphyrepo.com/p/baimpaula-7d2348c2,2022-09-17T03:26:19+00Z,graphyrepo
6,subscribers,299,GEN HALILINTAR,33,16,50,18100000,3196814282,https://graphyrepo.com/p/genhalilintar-a3c95282,2022-09-17T03:26:19+00Z,graphyrepo
7,subscribers,323,Naisa Alifia Yuriza (N.A.Y),33,8,51,17900000,2581570936,https://graphyrepo.com/p/naisaalifiayurizanay-d4cb79bd,2022-09-17T03:26:19+00Z,graphyrepo
8,subscribers,289,tanboy kun,16,8,51,16400000,3105886218,https://graphyrepo.com/p/tanboykun-0379219a,2022-09-17T03:26:19+00Z,graphyrepo
9,subscribers,356,TRANS TV Official,8,8,99,16100000,8894649516,https://graphyrepo.com/p/transtv-321c0e42,2022-09-17T03:26:19+00Z,graphyrepo
10,subscribers,713,Dyland PROS,50,100,56,15500000,1304519003,https://graphyrepo.com/p/dylandpros-c1889ee7,2022-09-17T03:26:19+00Z,graphyrepo
11,subscribers,345,RCTI - LAYAR DRAMA INDONESIA,16,8,91,15400000,13007092842,https://graphyrepo.com/p/rctilayardramaindonesia-d53281f3,2022-09-17T03:26:19+00Z,graphyrepo
12,subscribers,274,Daftar Populer,10,12,59,14700000,1903172480,https://graphyrepo.com/p/daftarpopuler-3f41c05f,2022-09-17T03:26:19+00Z,graphyrepo
13,subscribers,227,Arif muhammad,14,0,50,14500000,3467011498,https://graphyrepo.com/p/arifmuhammad-b96b828c,2022-09-17T03:26:19+00Z,graphyrepo
14,subscribers,447,MNCTV OFFICIAL ,22,24,91,13800000,7463999342,https://graphyrepo.com/p/mnctv-46b0eb10,2022-09-17T03:26:19+00Z,graphyrepo
15,subscribers,485,KOMPASTV,20,33,99,13000000,9588990402,https://graphyrepo.com/p/kompastv-7e0647cb,2022-09-17T03:26:19+00Z,graphyrepo
16,subscribers,256,The Shiny Peanut,10,12,50,12900000,2842240274,https://graphyrepo.com/p/theshinypeanut-e78c6717,2022-09-17T03:26:19+00Z,graphyrepo
17,subscribers,295,SAAIHALILINTAR,22,12,50,12600000,1105208375,https://graphyrepo.com/p/saaihalilintar-3d758db9,2022-09-17T03:26:19+00Z,graphyrepo
18,subscribers,851,FrontaL Gaming,100,100,50,11700000,256379090,https://graphyrepo.com/p/frontalgaming-2217792c,2022-09-17T03:26:19+00Z,graphyrepo
19,subscribers,363,Jessica Jane,60,0,51,10900000,1804927865,https://graphyrepo.com/p/jessicajane-0eda708d,2022-09-17T03:26:19+00Z,graphyrepo
20,subscribers,359,hasanjr11,27,24,50,10200000,1001039612,https://graphyrepo.com/p/hasanjr11-7f3d6716,2022-09-17T03:26:19+00Z,graphyrepo
21,subscribers,337,Islam Populer,42,0,55,10100000,929835684,https://graphyrepo.com/p/islampopuler-5db033f8,2022-09-17T03:26:19+00Z,graphyrepo
22,subscribers,195,Ini Talk Show,5,7,50,9860000,4487028489,https://graphyrepo.com/p/initalkshow-6cdb6f2d,2022-09-17T03:26:19+00Z,graphyrepo
23,subscribers,323,GadgetIn,24,16,51,9810000,2145808848,https://graphyrepo.com/p/gadgetin-355944e2,2022-09-17T03:26:19+00Z,graphyrepo
24,subscribers,356,CNN Indonesia,14,16,99,9730000,5019839585,https://graphyrepo.com/p/cnnindonesia-eb7a6b09,2022-09-17T03:26:19+00Z,graphyrepo
25,subscribers,315,Nihongo Mantappu,27,10,52,9680000,2173855821,https://graphyrepo.com/p/nihongomantappu-8e2e86aa,2022-09-17T03:26:19+00Z,graphyrepo
26,subscribers,301,Nessie Judge,27,7,52,9570000,1425878890,https://graphyrepo.com/p/nessiejudge-5544837c,2022-09-17T03:26:19+00Z,graphyrepo
27,subscribers,333,tvOneNews ,14,16,100,9430000,5652347647,https://graphyrepo.com/p/tvonenews-5a986d2e,2022-09-17T03:26:19+00Z,graphyrepo
28,subscribers,203,Lagu Anak Indonesia Balita,0,7,51,9360000,4552846436,https://graphyrepo.com/p/laguanakindonesiabalita-64ec861e,2022-09-17T03:26:19+00Z,graphyrepo
29,subscribers,420,PANJI PETUALANG,20,50,50,9270000,1569313915,https://graphyrepo.com/p/panjipetualang-b667494b,2022-09-17T03:26:19+00Z,graphyrepo
30,subscribers,250,Ani Nurhayani,11,7,55,9270000,1720099384,https://graphyrepo.com/p/aninurhayani-3464f947,2022-09-17T03:26:19+00Z,graphyrepo
31,subscribers,355,Sara Wijayanto,22,22,50,9250000,1014416310,https://graphyrepo.com/p/sarawijayanto-8618199f,2022-09-17T03:26:19+00Z,graphyrepo
32,subscribers,397,Rendy Rangers,31,20,58,9190000,1631749886,https://graphyrepo.com/p/rendyrangers-8d570c52,2022-09-17T03:26:19+00Z,graphyrepo
33,subscribers,228,Bobon Santoso,7,14,51,9130000,1381860817,https://graphyrepo.com/p/bobonsantoso-6bd2e181,2022-09-17T03:26:19+00Z,graphyrepo
34,subscribers,176,The LetsPlay Family,0,7,50,8980000,3340545828,https://graphyrepo.com/p/theletsplayfamily-375a3d33,2022-09-17T03:26:19+00Z,graphyrepo
35,subscribers,591,deHakims,10,100,53,8950000,1638567875,https://graphyrepo.com/p/dehakims-3c9c07dd,2022-09-17T03:26:19+00Z,graphyrepo
36,subscribers,194,Nussa Official,12,7,50,8840000,2569436041,https://graphyrepo.com/p/nussaofficial-b18e6415,2022-09-17T03:26:19+00Z,graphyrepo
37,subscribers,235,Daftar5,7,14,54,8290000,1275362745,https://graphyrepo.com/p/daftar5-88b2c233,2022-09-17T03:26:19+00Z,graphyrepo
38,subscribers,503,kemas pake z,0,100,51,8280000,778174523,https://graphyrepo.com/p/kemaspakez-404035b8,2022-09-17T03:26:19+00Z,graphyrepo
39,subscribers,338,Erpan1140,26,20,50,8080000,1593298946,https://graphyrepo.com/p/erpan1140-f30642ad,2022-09-17T03:26:19+00Z,graphyrepo
40,subscribers,258,Maell Lee,16,14,50,8050000,744926522,https://graphyrepo.com/p/maelllee-78853b1c,2022-09-17T03:26:19+00Z,graphyrepo
41,subscribers,407,Tribunnews,14,16,99,7970000,5433402513,https://graphyrepo.com/p/tribunnews-c37dffa9,2022-09-17T03:26:19+00Z,graphyrepo
42,subscribers,334,MD Entertainment,12,15,69,7820000,3797083052,https://graphyrepo.com/p/mdentertainment-dfc17eb6,2022-09-17T03:26:19+00Z,graphyrepo
43,subscribers,188,fikrifadlu ,3,7,50,7740000,3372694665,https://graphyrepo.com/p/fikrifadlu-62300ac2,2022-09-17T03:26:19+00Z,graphyrepo
44,subscribers,289,Rizky Riplay,24,7,50,7620000,1071562746,https://graphyrepo.com/p/rizkyriplay-2c219ce5,2022-09-17T03:26:19+00Z,graphyrepo
45,subscribers,229,Angga Candra,7,7,51,7470000,1119161091,https://graphyrepo.com/p/anggacandra-33c3425f,2022-09-17T03:26:19+00Z,graphyrepo
46,subscribers,439,Oura Gaming,10,60,59,7270000,1974740180,https://graphyrepo.com/p/ouragaming-29058214,2022-09-17T03:26:19+00Z,graphyrepo
47,subscribers,527,animasinopal,0,100,50,7250000,799518774,https://graphyrepo.com/p/animasinopal-d585699a,2022-09-17T03:26:19+00Z,graphyrepo
48,subscribers,312,Putih Abu-Abu,20,24,51,7120000,1822862017,https://graphyrepo.com/p/putihabuabu-bdf9b360,2022-09-17T03:26:19+00Z,graphyrepo
49,subscribers,282,musisi jogja project,15,24,57,6970000,1296716126,https://graphyrepo.com/p/musisijogjaproject-211bed4c,2022-09-17T03:26:19+00Z,graphyrepo
50,subscribers,340,Rasyah Rasyid,26,20,51,6960000,684670884,https://graphyrepo.com/p/rasyahrasyid-cd3d512c,2022-09-17T03:26:19+00Z,graphyrepo
51,subscribers,230,Hi Patrick,22,7,50,6950000,743833985,https://graphyrepo.com/p/hipatrick-5ab3b63e,2022-09-17T03:26:19+00Z,graphyrepo
52,subscribers,203,DJ Opus,7,7,51,6810000,589089347,https://graphyrepo.com/p/djopus-0b51b5fc,2022-09-17T03:26:19+00Z,graphyrepo
53,subscribers,305,FATEH HALILINTAR,22,7,50,6560000,279424019,https://graphyrepo.com/p/fatehhalilintar-22885765,2022-09-17T03:26:19+00Z,graphyrepo
54,subscribers,230,86 & Custom Protection NET,11,7,57,6530000,2619012156,https://graphyrepo.com/p/86customprotectionnet-349bb358,2022-09-17T03:26:19+00Z,graphyrepo
55,subscribers,251,Indonesian Idol,7,7,50,6460000,1831894692,https://graphyrepo.com/p/indonesianidol-f2adb831,2022-09-17T03:26:19+00Z,graphyrepo
56,subscribers,197,Calon Sarjana,7,7,60,6410000,493264910,https://graphyrepo.com/p/calonsarjana-c63cb1f3,2022-09-17T03:26:19+00Z,graphyrepo
57,subscribers,203,TAULANY TV,10,10,51,6360000,1287126492,https://graphyrepo.com/p/taulanytv-2a8777d7,2022-09-17T03:26:19+00Z,graphyrepo
58,subscribers,382,WAWAN MKS,26,40,50,6290000,491740546,https://graphyrepo.com/p/wawanmks-8a707272,2022-09-17T03:26:19+00Z,graphyrepo
59,subscribers,356,Tribun Timur,5,10,99,6280000,5461597972,https://graphyrepo.com/p/tribuntimur-f1c646c7,2022-09-17T03:26:19+00Z,graphyrepo
60,subscribers,279,Natasha Wilona,22,22,50,6200000,517821798,https://graphyrepo.com/p/natashawilona-4b7a4429,2022-09-17T03:26:19+00Z,graphyrepo
61,subscribers,312,BrandonKent Everything,10,40,55,6180000,1624851276,https://graphyrepo.com/p/brandonkenteverything-6261705e,2022-09-17T03:26:19+00Z,graphyrepo
62,subscribers,217,Vincent Raditya,11,0,50,6000000,560514129,https://graphyrepo.com/p/vincentraditya-91195d03,2022-09-17T03:26:19+00Z,graphyrepo
63,subscribers,296,The Hermansyah A6,11,14,53,5930000,1247347488,https://graphyrepo.com/p/thehermansyaha6-34846978,2022-09-17T03:26:19+00Z,graphyrepo
64,subscribers,299,Trinity Optima Production,15,12,50,5880000,3550476464,https://graphyrepo.com/p/trinityoptimaproduction-1df4a4cd,2022-09-17T03:26:19+00Z,graphyrepo
65,subscribers,337,Jurnal Risa,27,10,51,5820000,945920456,https://graphyrepo.com/p/jurnalrisa-ea5d5434,2022-09-17T03:26:19+00Z,graphyrepo
66,subscribers,306,Thariq Halilintar,29,7,52,5750000,416145176,https://graphyrepo.com/p/thariqhalilintar-5203b2a9,2022-09-17T03:26:19+00Z,graphyrepo
67,subscribers,369,Teguh Sugianto,26,20,53,5720000,2246082481,https://graphyrepo.com/p/teguhsugianto-439d9107,2022-09-17T03:26:19+00Z,graphyrepo
68,subscribers,229,Hobby Makan,10,10,51,5690000,978042295,https://graphyrepo.com/p/hobbymakan-46062043,2022-09-17T03:26:19+00Z,graphyrepo
69,subscribers,229,SABYAN,10,12,50,5650000,469070930,https://graphyrepo.com/p/sabyan-a1c01486,2022-09-17T03:26:19+00Z,graphyrepo
70,subscribers,281,Maul Ibra,15,20,53,5490000,1654828875,https://graphyrepo.com/p/maulibra-a658b733,2022-09-17T03:26:19+00Z,graphyrepo
71,subscribers,228,Picky Picks,15,7,50,5350000,504375239,https://graphyrepo.com/p/pickypicks-44535c6f,2022-09-17T03:26:19+00Z,graphyrepo
