rank,filter,grade,name,category,uploads,subscribers,views,stats_url,date_scraped,source
1,subscribers,B+,Ricis Official,entertainment,2047,30.5M,5193024699,https://socialblade.com/youtube/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,2022-09-17T03:26:03+00Z,socialblade
2,subscribers,B+,AH,entertainment,1843,30M,4120546453,https://socialblade.com/youtube/channel/UCaKLg1ELiX0zTJ6Je3c5esA,2022-09-17T03:26:03+00Z,socialblade
3,subscribers,B+,Jess No Limit,games,1938,24.9M,3087597642,https://socialblade.com/youtube/channel/UCvh1at6xpV1ytYOAzxmqUsA,2022-09-17T03:26:03+00Z,socialblade
4,subscribers,B+,Rans Entertainment,entertainment,3125,24.2M,5770596419,https://socialblade.com/youtube/channel/UCvA9_f5Lwk-poMynabtrZPg,2022-09-17T03:26:03+00Z,socialblade
5,subscribers,A-,TRANS7 OFFICIAL,entertainment,79961,23.5M,12652425405,https://socialblade.com/youtube/channel/UC24_Z2L-8Ki183AI9zJJzNQ,2022-09-17T03:26:03+00Z,socialblade
6,subscribers,A-,Frost Diamond,games,2242,22.6M,5479472170,https://socialblade.com/youtube/channel/UC4hGmH5sABOA70D4fGb8qNQ,2022-09-17T03:26:03+00Z,socialblade
7,subscribers,A,Indosiar,entertainment,59912,21.4M,10517733839,https://socialblade.com/youtube/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,2022-09-17T03:26:03+00Z,socialblade
8,subscribers,B+,Baim Paula,entertainment,1992,20.8M,4291596405,https://socialblade.com/youtube/channel/UC5xAPCVizxOfnMECMXkal2Q,2022-09-17T03:26:03+00Z,socialblade
9,subscribers,A-,Deddy Corbuzier,entertainment,1158,19.4M,4210166920,https://socialblade.com/youtube/channel/UCYk4LJI0Pr6RBDWowMm-KUw,2022-09-17T03:26:03+00Z,socialblade
10,subscribers,A-,BabyBus - Cerita & Lagu Anak-anak,education,687,18.5M,10482678744,https://socialblade.com/youtube/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,2022-09-17T03:26:03+00Z,socialblade
11,subscribers,B+,MiawAug,games,3332,18.3M,5325032443,https://socialblade.com/youtube/channel/UC3J4Q1grz46bdJ7NJLd4DGw,2022-09-17T03:26:03+00Z,socialblade
12,subscribers,B,GEN HALILINTAR,entertainment,981,18.1M,3196770261,https://socialblade.com/youtube/channel/UCfRNJiafEm1LBBGFTTq4cXw,2022-09-17T03:26:03+00Z,socialblade
13,subscribers,B+,Naisa Alifia Yuriza (N.A.Y),entertainment,1472,17.9M,2579849808,https://socialblade.com/youtube/channel/UCtjFp8VXWIscsqQ2wokpo3Q,2022-09-17T03:26:03+00Z,socialblade
14,subscribers,A-,Zuni and Family,people,179,16.4M,5984000116,https://socialblade.com/youtube/channel/UCAelPgCHWYyEs8-TFuOVRtg,2022-09-17T03:26:03+00Z,socialblade
15,subscribers,A-,tanboy kun,entertainment,597,16.4M,3103643570,https://socialblade.com/youtube/channel/UC8rHUssNDJ9YEjfduAqJBmw,2022-09-17T03:26:03+00Z,socialblade
16,subscribers,A-,TRANS TV Official,entertainment,126887,16.1M,8890977604,https://socialblade.com/youtube/channel/UCIohHXwCEKxWCLvAguJ-GjA,2022-09-17T03:26:03+00Z,socialblade
17,subscribers,B,Dyland PROS,games,1868,15.5M,1304072747,https://socialblade.com/youtube/channel/UCXdmo_q4SawYMz-dmeKEHPQ,2022-09-17T03:26:03+00Z,socialblade
18,subscribers,A-,RCTI - LAYAR DRAMA INDONESIA,entertainment,59958,15.4M,13003916157,https://socialblade.com/youtube/channel/UCzTsWuCdVP_vehWyGwPcS3Q,2022-09-17T03:26:03+00Z,socialblade
19,subscribers,A-,Like Nastya IDN,entertainment,446,15.2M,6585962756,https://socialblade.com/youtube/channel/UCui_SuV6CzSgB1bdwL5utzg,2022-09-17T03:26:03+00Z,socialblade
20,subscribers,B+,Kerajinan 5-Menit,howto,3466,15.2M,4499630863,https://socialblade.com/youtube/channel/UClIYfCAhMAlacxT0e_sl1uA,2022-09-17T03:26:03+00Z,socialblade
21,subscribers,B+,Daftar Populer,entertainment,2999,14.7M,1902222110,https://socialblade.com/youtube/channel/UCQW2tTNJ40V2T6MqV1eMZ0w,2022-09-17T03:26:03+00Z,socialblade
22,subscribers,B+,Arif muhammad,comedy,440,14.5M,3465703629,https://socialblade.com/youtube/channel/UCfx3oPv3cJm2aCJ7UnhKx8A,2022-09-17T03:26:03+00Z,socialblade
23,subscribers,B+,MNCTV OFFICIAL,entertainment,55652,13.8M,7462486601,https://socialblade.com/youtube/channel/UC34xi8JB1AKSotPUKHywbaA,2022-09-17T03:26:03+00Z,socialblade
24,subscribers,A,KOMPASTV,news,229331,13M,9580268093,https://socialblade.com/youtube/channel/UC5BMIWZe9isJXLZZWPWvBlg,2022-09-17T03:26:03+00Z,socialblade
25,subscribers,B,The Shiny Peanut,entertainment,2340,12.9M,2842177720,https://socialblade.com/youtube/channel/UCgiO267R4Qo-SJF2UzH5ccQ,2022-09-17T03:26:03+00Z,socialblade
26,subscribers,B,BUDI01 GAMING,games,273,12.7M,1072982281,https://socialblade.com/youtube/channel/UC8qp0ZmavLOGeSdLxSUZO8w,2022-09-17T03:26:03+00Z,socialblade
27,subscribers,B,SAAIHALILINTAR,entertainment,405,12.6M,1105201517,https://socialblade.com/youtube/channel/UCEIdGryox368qWinrZ9eA8A,2022-09-17T03:26:03+00Z,socialblade
