rank,filter,grade,name,quality,virality,frequency,subscribers,views,stats_url,date_scraped,source
1,subscribers,362,Ricis Official,44,14,53,30500000,5189863784,https://graphyrepo.com/p/ricisofficial-29665a11,2022-09-14T03:39:04+00Z,graphyrepo
2,subscribers,297,AH,40,0,53,29900000,4119027294,https://graphyrepo.com/p/ah-0ee27217,2022-09-14T03:39:04+00Z,graphyrepo
3,subscribers,468,TRANS7 OFFICIAL,24,24,97,23500000,12641722818,https://graphyrepo.com/p/trans7-ca8eca2c,2022-09-14T03:39:04+00Z,graphyrepo
4,subscribers,602,Frost Diamond,87,24,54,22500000,5469453693,https://graphyrepo.com/p/frostdiamond-988fafd6,2022-09-14T03:39:04+00Z,graphyrepo
5,subscribers,418,Baim Paula,50,24,53,20800000,4290093145,https://graphyrepo.com/p/baimpaula-7d2348c2,2022-09-14T03:39:04+00Z,graphyrepo
6,subscribers,305,GEN HALILINTAR,33,18,50,18100000,3196426421,https://graphyrepo.com/p/genhalilintar-a3c95282,2022-09-14T03:39:04+00Z,graphyrepo
7,subscribers,354,Naisa Alifia Yuriza (N.A.Y),41,8,51,17900000,2576459489,https://graphyrepo.com/p/naisaalifiayurizanay-d4cb79bd,2022-09-14T03:39:04+00Z,graphyrepo
8,subscribers,291,tanboy kun,16,8,51,16400000,3099242437,https://graphyrepo.com/p/tanboykun-0379219a,2022-09-14T03:39:04+00Z,graphyrepo
9,subscribers,354,TRANS TV Official,8,8,97,16100000,8881623786,https://graphyrepo.com/p/transtv-321c0e42,2022-09-14T03:39:04+00Z,graphyrepo
10,subscribers,626,Dyland PROS,63,62,55,15500000,1302960258,https://graphyrepo.com/p/dylandpros-c1889ee7,2022-09-14T03:39:04+00Z,graphyrepo
11,subscribers,373,RCTI - LAYAR DRAMA INDONESIA,24,8,90,15400000,12986885961,https://graphyrepo.com/p/rctilayardramaindonesia-d53281f3,2022-09-14T03:39:04+00Z,graphyrepo
12,subscribers,275,Daftar Populer,10,12,59,14600000,1900246954,https://graphyrepo.com/p/daftarpopuler-3f41c05f,2022-09-14T03:39:04+00Z,graphyrepo
13,subscribers,270,Arif muhammad,14,12,51,14500000,3461995491,https://graphyrepo.com/p/arifmuhammad-b96b828c,2022-09-14T03:39:04+00Z,graphyrepo
14,subscribers,384,MNCTV OFFICIAL ,5,24,89,13800000,7458402285,https://graphyrepo.com/p/mnctv-46b0eb10,2022-09-14T03:39:04+00Z,graphyrepo
15,subscribers,470,KOMPASTV,16,33,98,13000000,9563931245,https://graphyrepo.com/p/kompastv-7e0647cb,2022-09-14T03:39:04+00Z,graphyrepo
16,subscribers,300,The Shiny Peanut,10,24,50,12900000,2842060243,https://graphyrepo.com/p/theshinypeanut-e78c6717,2022-09-14T03:39:04+00Z,graphyrepo
17,subscribers,295,SAAIHALILINTAR,22,12,50,12600000,1105159922,https://graphyrepo.com/p/saaihalilintar-3d758db9,2022-09-14T03:39:04+00Z,graphyrepo
18,subscribers,851,FrontaL Gaming,100,100,50,11700000,256307508,https://graphyrepo.com/p/frontalgaming-2217792c,2022-09-14T03:39:04+00Z,graphyrepo
19,subscribers,415,Jessica Jane,74,0,51,10800000,1799438761,https://graphyrepo.com/p/jessicajane-0eda708d,2022-09-14T03:39:04+00Z,graphyrepo
20,subscribers,359,hasanjr11,27,24,50,10200000,997993936,https://graphyrepo.com/p/hasanjr11-7f3d6716,2022-09-14T03:39:04+00Z,graphyrepo
21,subscribers,319,Islam Populer,37,0,56,10100000,929136882,https://graphyrepo.com/p/islampopuler-5db033f8,2022-09-14T03:39:04+00Z,graphyrepo
22,subscribers,213,Ini Talk Show,5,12,50,9860000,4485411135,https://graphyrepo.com/p/initalkshow-6cdb6f2d,2022-09-14T03:39:04+00Z,graphyrepo
23,subscribers,342,GadgetIn,24,22,51,9800000,2140500710,https://graphyrepo.com/p/gadgetin-355944e2,2022-09-14T03:39:04+00Z,graphyrepo
24,subscribers,352,CNN Indonesia,14,16,97,9720000,5014662105,https://graphyrepo.com/p/cnnindonesia-eb7a6b09,2022-09-14T03:39:04+00Z,graphyrepo
25,subscribers,352,Nihongo Mantappu,29,20,52,9670000,2169481877,https://graphyrepo.com/p/nihongomantappu-8e2e86aa,2022-09-14T03:39:04+00Z,graphyrepo
26,subscribers,319,Nessie Judge,27,12,52,9560000,1423444778,https://graphyrepo.com/p/nessiejudge-5544837c,2022-09-14T03:39:04+00Z,graphyrepo
27,subscribers,329,tvOneNews ,14,16,98,9420000,5629514941,https://graphyrepo.com/p/tvonenews-5a986d2e,2022-09-14T03:39:04+00Z,graphyrepo
28,subscribers,203,Lagu Anak Indonesia Balita,0,7,51,9340000,4543266539,https://graphyrepo.com/p/laguanakindonesiabalita-64ec861e,2022-09-14T03:39:04+00Z,graphyrepo
29,subscribers,414,PANJI PETUALANG,18,50,50,9260000,1568584636,https://graphyrepo.com/p/panjipetualang-b667494b,2022-09-14T03:39:04+00Z,graphyrepo
30,subscribers,254,Ani Nurhayani,11,8,54,9260000,1717130307,https://graphyrepo.com/p/aninurhayani-3464f947,2022-09-14T03:39:04+00Z,graphyrepo
31,subscribers,373,Sara Wijayanto,29,20,50,9250000,1013393089,https://graphyrepo.com/p/sarawijayanto-8618199f,2022-09-14T03:39:04+00Z,graphyrepo
32,subscribers,377,Rendy Rangers,26,20,57,9190000,1630247928,https://graphyrepo.com/p/rendyrangers-8d570c52,2022-09-14T03:39:04+00Z,graphyrepo
33,subscribers,241,Bobon Santoso,7,18,51,9130000,1380814221,https://graphyrepo.com/p/bobonsantoso-6bd2e181,2022-09-14T03:39:04+00Z,graphyrepo
34,subscribers,182,The LetsPlay Family,0,8,50,8970000,3337679556,https://graphyrepo.com/p/theletsplayfamily-375a3d33,2022-09-14T03:39:04+00Z,graphyrepo
35,subscribers,412,deHakims,8,50,53,8950000,1636639947,https://graphyrepo.com/p/dehakims-3c9c07dd,2022-09-14T03:39:04+00Z,graphyrepo
36,subscribers,262,Nussa Official,14,24,50,8840000,2567488658,https://graphyrepo.com/p/nussaofficial-b18e6415,2022-09-14T03:39:04+00Z,graphyrepo
37,subscribers,248,Daftar5,7,18,54,8280000,1273775277,https://graphyrepo.com/p/daftar5-88b2c233,2022-09-14T03:39:04+00Z,graphyrepo
