rank,filter,grade,name,category,subscribers,views,stats_url,date_scraped,source
1,subs weekly,3.5,Ricis Official,Entertainment,30.5M,649.29K,https://www.noxinfluencer.com/youtube/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,2022-09-18T03:46:46+00Z,noxinfluencer
2,subs weekly,3,AH,Entertainment,30M,861.34K,https://www.noxinfluencer.com/youtube/channel/UCaKLg1ELiX0zTJ6Je3c5esA,2022-09-18T03:46:46+00Z,noxinfluencer
3,subs weekly,3,Jess No Limit,Gaming,24.9M,1M,https://www.noxinfluencer.com/youtube/channel/UCvh1at6xpV1ytYOAzxmqUsA,2022-09-18T03:46:46+00Z,noxinfluencer
4,subs weekly,3.5,Rans Entertainment,Entertainment,24.2M,857.78K,https://www.noxinfluencer.com/youtube/channel/UCvA9_f5Lwk-poMynabtrZPg,2022-09-18T03:46:46+00Z,noxinfluencer
5,subs weekly,2,TRANS7 OFFICIAL,Entertainment,23.5M,27.85K,https://www.noxinfluencer.com/youtube/channel/UC24_Z2L-8Ki183AI9zJJzNQ,2022-09-18T03:46:46+00Z,noxinfluencer
6,subs weekly,3,Frost Diamond,Gaming,22.6M,619.97K,https://www.noxinfluencer.com/youtube/channel/UC4hGmH5sABOA70D4fGb8qNQ,2022-09-18T03:46:46+00Z,noxinfluencer
7,subs weekly,2,Indosiar,Entertainment,21.4M,0,https://www.noxinfluencer.com/youtube/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,2022-09-18T03:46:46+00Z,noxinfluencer
8,subs weekly,3,Baim Paula,Entertainment,20.8M,678.18K,https://www.noxinfluencer.com/youtube/channel/UC5xAPCVizxOfnMECMXkal2Q,2022-09-18T03:46:46+00Z,noxinfluencer
9,subs weekly,4.5,Deddy Corbuzier,Entertainment,19.5M,3.9M,https://www.noxinfluencer.com/youtube/channel/UCYk4LJI0Pr6RBDWowMm-KUw,2022-09-18T03:46:46+00Z,noxinfluencer
10,subs weekly,3,BabyBus - Cerita & Lagu Anak-anak,Education,18.5M,707.48K,https://www.noxinfluencer.com/youtube/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,2022-09-18T03:46:46+00Z,noxinfluencer
11,subs weekly,3.5,MiawAug,Gaming,18.3M,639.58K,https://www.noxinfluencer.com/youtube/channel/UC3J4Q1grz46bdJ7NJLd4DGw,2022-09-18T03:46:46+00Z,noxinfluencer
12,subs weekly,3,GEN HALILINTAR,Entertainment,18.1M,462.29K,https://www.noxinfluencer.com/youtube/channel/UCfRNJiafEm1LBBGFTTq4cXw,2022-09-18T03:46:46+00Z,noxinfluencer
13,subs weekly,3,Naisa Alifia Yuriza (N.A.Y),Entertainment,17.9M,1.25M,https://www.noxinfluencer.com/youtube/channel/UCtjFp8VXWIscsqQ2wokpo3Q,2022-09-18T03:46:46+00Z,noxinfluencer
14,subs weekly,1.5,Zuni and Family,People & Blogs,16.4M,640.15K,https://www.noxinfluencer.com/youtube/channel/UCAelPgCHWYyEs8-TFuOVRtg,2022-09-18T03:46:46+00Z,noxinfluencer
15,subs weekly,4.5,tanboy kun,Entertainment,16.4M,2.11M,https://www.noxinfluencer.com/youtube/channel/UC8rHUssNDJ9YEjfduAqJBmw,2022-09-18T03:46:46+00Z,noxinfluencer
16,subs weekly,2,TRANS TV Official,Entertainment,16.1M,4.03K,https://www.noxinfluencer.com/youtube/channel/UCIohHXwCEKxWCLvAguJ-GjA,2022-09-18T03:46:46+00Z,noxinfluencer
17,subs weekly,2.5,Dyland PROS,Gaming,15.5M,70.16K,https://www.noxinfluencer.com/youtube/channel/UCXdmo_q4SawYMz-dmeKEHPQ,2022-09-18T03:46:46+00Z,noxinfluencer
18,subs weekly,2,RCTI - LAYAR DRAMA INDONESIA,Entertainment,15.4M,44.65K,https://www.noxinfluencer.com/youtube/channel/UCzTsWuCdVP_vehWyGwPcS3Q,2022-09-18T03:46:46+00Z,noxinfluencer
19,subs weekly,2,Kerajinan 5-Menit,Howto & Style,15.2M,14.05K,https://www.noxinfluencer.com/youtube/channel/UClIYfCAhMAlacxT0e_sl1uA,2022-09-18T03:46:46+00Z,noxinfluencer
20,subs weekly,2,Like Nastya IDN,Entertainment,15.2M,190.36K,https://www.noxinfluencer.com/youtube/channel/UCui_SuV6CzSgB1bdwL5utzg,2022-09-18T03:46:46+00Z,noxinfluencer
21,subs weekly,3,Daftar Populer,Entertainment,14.7M,75.33K,https://www.noxinfluencer.com/youtube/channel/UCQW2tTNJ40V2T6MqV1eMZ0w,2022-09-18T03:46:46+00Z,noxinfluencer
22,subs weekly,4.5,Arif muhammad,Comedy,14.5M,2.89M,https://www.noxinfluencer.com/youtube/channel/UCfx3oPv3cJm2aCJ7UnhKx8A,2022-09-18T03:46:46+00Z,noxinfluencer
