rank,filter,grade,name,category,uploads,subscribers,views,stats_url,date_scraped,source
1,subscribers,A-,Raditya Dika,entertainment,575,2.53M,289937314,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
2,subscribers,A-,Edho Zell,entertainment,334,1.47M,331565651,https://socialblade.com/youtube/user/2ell,2022-09-15T03:45:56+00Z,socialblade
3,subscribers,B+,rezaoktovian,games,370,1.43M,240255184,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
4,subscribers,A-,Ricis Official,people,121,1.24M,129551344,https://socialblade.com/youtube/user/4ts4q_cno5jvciuxxqoopa,2022-09-15T03:45:56+00Z,socialblade
5,subscribers,B+,Tim2one - ChandraLiow,entertainment,195,1.21M,188072959,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
6,subscribers,B+,Bayu Skak,comedy,183,1.16M,113793894,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
7,subscribers,A-,Musica Studio's,music,805,1.06M,823142370,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
8,subscribers,B+,skinnyindonesian24,people,167,986K,97262054,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
9,subscribers,A,GEN HALILINTAR,entertainment,163,971K,175052193,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
10,subscribers,A-,Netmediatama,entertainment,20528,956K,743225915,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
11,subscribers,B+,LASTDAY Production,entertainment,135,944K,254736388,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
12,subscribers,A,Cumicumi,entertainment,34843,913K,1190871370,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
13,subscribers,A-,MiawAug,games,1228,864K,183952246,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
14,subscribers,A,Calon Sarjana,entertainment,151,831K,153823066,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
15,subscribers,B+,Arief Muhammad,entertainment,145,814K,110994861,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
16,subscribers,B+,Eka Gustiwana,music,124,753K,107455859,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
17,subscribers,B+,X Factor Indonesia,entertainment,1745,723K,186265875,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
18,subscribers,A-,NAGASWARA Official Video | Indones…,music,1034,706K,771092555,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
19,subscribers,A-,Trinity Optima Production,music,717,705K,774280992,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
20,subscribers,B+,Salshabilla TV,music,142,698K,115312178,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
21,subscribers,A-,Erpan1140,games,367,676K,153318295,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
22,subscribers,B+,Zenmatho,games,385,665K,133367677,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
23,subscribers,B+,KapanLagi,entertainment,46592,664K,493024129,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
24,subscribers,A-,Lifia Niala,people,344,645K,719461062,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
25,subscribers,B+,Laurentius Rando,people,371,606K,128499566,https://socialblade.com/youtube/user/2owfimd-wxblrlcaaelobq,2022-09-15T03:45:56+00Z,socialblade
26,subscribers,A-,Hanin Dhiya,music,142,598K,102867608,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
27,subscribers,B+,Tara Arts Game Indonesia,games,648,595K,135014541,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
28,subscribers,A-,Atta Halilintar,entertainment,76,594K,45565597,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
29,subscribers,B+,sanimusicindonesia,music,1303,579K,427516204,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
30,subscribers,B+,Agung Hapsah,entertainment,76,568K,45206295,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
31,subscribers,B+,Kok Bisa?,education,128,565K,49425948,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
32,subscribers,B+,Brian Imanuel,comedy,11,564K,74711744,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
33,subscribers,B+,Han Yoo Ra - 한유라,entertainment,138,556K,52747891,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
34,subscribers,B,Qonny Q,education,112,552K,423046692,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
35,subscribers,B+,Young Lex,people,319,540K,185914141,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
36,subscribers,B+,Malesbanget.com,comedy,867,537K,103475713,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
37,subscribers,A-,Indosiar,entertainment,9570,534K,517043010,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
38,subscribers,A,RCTI - LAYAR DRAMA INDONESIA,entertainment,11475,529K,699025279,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
39,subscribers,A-,Ini Talk Show,comedy,3509,526K,423923125,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
40,subscribers,A-,Surya Citra Televisi (SCTV),entertainment,9954,511K,365469410,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
41,subscribers,B+,Indonesian Idol,entertainment,4390,511K,206553684,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
42,subscribers,A-,YtCrash,education,355,510K,245058453,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
43,subscribers,B+,sakmaidikplis,film,39,489K,37220090,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
44,subscribers,A-,LAST CHILD,entertainment,129,488K,264116854,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
45,subscribers,A-,kastari sentra,film,351,477K,338043083,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
46,subscribers,B+,Ria SW,entertainment,45,472K,53846190,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
47,subscribers,B+,Kevin Hendrawan,entertainment,262,472K,52106166,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
48,subscribers,A-,TRANS TV Official,entertainment,12948,469K,430470136,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
49,subscribers,B+,Ria Yaya Riya,people,133,467K,114580867,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
